S.No,Module,Role,Side bar item,Feature,Description,Criticality,Issue raised Date,Status,Issue closed date,Assigned to,Tester comments,Developer comments
1,General,All roles,NA,Top ribbon,The user role should have provision to add alias title. Our default role remains same in the background but their organizational role would be visible,Must have,4-Aug-2026,Closed,25-Aug-2026,Jay,,"New alias title on the user record, editable by the user (My account) or an admin (Admin console). Shown in the top ribbon in place of the platform role, with the platform role beside it. The underlying role is untouched, so all permissions, sidebar gating and pipeline transitions behave exactly as before. Seeded titles on all demo logins."
2,General,All roles,NA,Search & Tag deck facility,Customer asked for this during our demo,Nice to have,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Search box (startup / founder / sector / city / email) and a tag filter added to the All decks top row. Tags are added and removed per deck in the evaluation report drawer. Filtering is server-side; tags are lowercased, de-duplicated and capped. Founders cannot tag."
3,Incubator,Super User,All decks,On the top row,"Export option, Program and Cohort dropdowns must be there.",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,Verified already present; retained and re-spaced so the row no longer wraps at laptop widths. Export now exports exactly the filtered / selected view rather than the whole list.
4,Incubator,Super User,All decks,Stat boxes on top of center panel,The fifth box must be titled ASSIGNED,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Boxes are now Uploaded / Pending / Incomplete / AI Evaluated / ASSIGNED / SHORTLISTED. Each box is clickable and filters the table below, as in the prototype."
5,Incubator,Super User,All decks,Stat boxes on top of center panel,The sixth box must be titled SHORTLISTED,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Sixth box is SHORTLISTED and counts every startup at or past the shortlist decision, using each edition's own pipeline stages."
6,Incubator,Super User,All decks,On the main table in centre panel,"at this stage AI SCORE column is not required. The columns have to be STARTUP, FOUNDER NAME, EMAIL ID, PHONE, CITY, SECTOR, STATUS.",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,Table columns are now exactly STARTUP / FOUNDER NAME / EMAIL ID / PHONE / CITY / SECTOR / STATUS. AI score removed from this screen (still on the evaluation screens). Seeded decks were backfilled with founder contact detail so the new columns are populated.
7,Incubator,Super User,All decks,the PIPELINE PROGRESS in the right panel,The items should be same as the stat box titles,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Pipeline progress now lists Pending / Incomplete / AI Evaluated / Assigned / Shortlisted with counts and percentage of uploaded. Both the boxes and the rail are generated from one shared definition, so they cannot drift apart in future."
8,Incubator,Super User,All decks,ACTIVITY LOG,ACTIVITY LOG must be there below COHORT RATING THRESHOLD,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,,,"Activity log added directly below Cohort rating thresholds, reading the real pipeline audit trail (who moved which startup to which stage, and when). Respects the Program / Cohort filter and shows each person's organizational title."
9,Incubator,Super User,Side bar items,List of items under EVALUATION,"After JURY PIPELINE, PROG MANAGER PIPELINE must be added. After INTRO CALLS, FOR SIGN UP should be deleted.",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"PROG MANAGER PIPELINE added immediately after JURY PIPELINE. FOR SIGN UP removed from the sidebar, the routing, the screen configuration and the automated tests."
10,Incubator,Super User,Side bar items,List of items under SETTINGS,"SET UP, MY ACCOUNT and ADMIN CONSOLE have to be added",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"All three were already built and permitted; the long Evaluation list pushed the Settings group below the fold, so they read as missing. Sidebar sections are now collapsible (as in the prototype) and the collapsed / expanded choice is remembered per user."
11,Incubator,Super User,Upload,The details of credits balance,this option to buy must be there on top,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,Credits balance strip with a Buy credits button sits above the upload methods. Turns red when the balance is low and decrements immediately after an upload.
12,Incubator,Super User,Upload,"The details of of startup name, stage, sector, cohort",must be automatically recognized with manual over-ride facility,Must have,4-Aug-2026,Closed,25-Aug-2026,Jay,,"The AI extraction now also reads the startup name and funding stage off the deck (it already read sector, founder, email, phone and city). Leaving a field blank means auto-detect; anything typed always wins. After the scan an Auto-recognised details panel shows what was read and every field is editable and saved back to the deck. Cohort is taken from the workspace context and labelled as such."
13,Incubator,Super User,Upload,Other Bulk upload option,"facilities for decks to be pulled from a CRM or Email triage must be mentioned but it should be a customization request, that comes to us as a ticket.",Must have,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Other ways to bring in decks section names CRM sync and an email triage inbox, and states plainly that they are built per workspace. Request this raises a real customization ticket in the support queue - nothing pretends to be switched on."
